date,type,category,description,amount,memo
2020-03-11,수입,기타수입,환급금,213110,
2020-03-12,수입,급여,프리랜서 수입,4895955,메모_2554
2020-03-12,지출,교통,주유비,-43304,
2020-03-14,지출,주거,관리비,-89990,
2020-03-14,지출,문화/여가,게임 아이템,-49550,
2020-03-15,지출,식비,분식집,-53741,현금
2020-03-15,수입,급여,보너스,2766057,
2020-03-15,지출,교통,주유비,-131440,
2020-03-17,지출,문화/여가,음악 스트리밍,-34206,
2020-03-18,지출,문화/여가,게임 아이템,-76932,카드결제
2020-03-18,수입,급여,이자 수입,3088694,
2020-03-19,지출,저축/투자,적금 납입,-98026,현금
2020-03-19,지출,문화/여가,게임 아이템,-55672,
2020-03-20,지출,여행,항공권,-146411,
2020-03-20,지출,여행,항공권,-1090074,메모_3595
2020-03-22,지출,식비,일식당,-46481,
2020-03-22,지출,교육,자격증 시험,-566956,
2020-03-23,지출,식비,배달음식,-31511,메모_1998
2020-03-24,지출,저축/투자,펀드 투자,-73316,메모_1056
2020-03-24,지출,교통,택시,-64735,
2020-03-24,지출,의료,안과,-100247,메모_4002
2020-03-25,지출,저축/투자,펀드 투자,-456743,카드결제
2020-03-25,지출,교육,교재 구입,-62466,
2020-03-25,지출,여행,항공권,-890423,
2020-03-26,지출,의료,치과,-128008,메모_1167
2020-03-26,지출,통신,휴대폰 요금,-30089,현금
2020-03-26,지출,통신,휴대폰 요금,-38872,메모_2335
2020-03-26,지출,통신,케이블TV,-44454,현금
2020-03-27,지출,쇼핑,옷 구입,-272144,현금
2020-03-28,지출,저축/투자,펀드 투자,-54872,
2020-03-28,지출,식비,마트,-46451,
2020-03-28,지출,통신,휴대폰 요금,-39615,
2020-03-28,지출,주거,관리비,-92819,메모_3690
2020-03-29,지출,여행,숙박비,-739479,메모_743
2020-03-29,지출,통신,휴대폰 요금,-33263,현금
2020-03-29,지출,의료,한의원,-49767,현금
2020-03-30,수입,급여,보너스,4359885,
2020-03-30,지출,문화/여가,스포츠센터,-21143,현금
2020-03-30,지출,교통,고속도로 통행료,-83803,
2020-03-30,지출,저축/투자,적금 납입,-865400,
2020-03-30,지출,여행,항공권,-1271747,
2020-03-31,수입,급여,프리랜서 수입,4679446,메모_966
2020-04-01,지출,통신,케이블TV,-63011,
2020-04-02,지출,여행,숙박비,-376881,
2020-04-02,지출,교육,자격증 시험,-199652,메모_3572
2020-04-02,지출,문화/여가,OTT 구독,-78152,현금
2020-04-02,지출,교통,고속도로 통행료,-78586,현금
2020-04-02,지출,쇼핑,화장품,-270949,현금
2020-04-03,지출,여행,항공권,-544334,카드결제
2020-04-03,지출,여행,숙박비,-1218906,
2020-04-03,지출,저축/투자,주식 매수,-621052,현금
2020-04-04,지출,저축/투자,적금 납입,-959051,
2020-04-05,지출,식비,카페,-21236,
2020-04-05,지출,교육,교재 구입,-445597,메모_2801
2020-04-05,지출,교통,주차비,-133273,카드결제
2020-04-06,지출,문화/여가,게임 아이템,-11817,
2020-04-06,지출,교통,주유비,-112933,
2020-04-08,지출,쇼핑,생활용품,-450668,
2020-04-08,지출,교통,주유비,-36202,카드결제
2020-04-08,지출,쇼핑,생활용품,-61801,메모_2239
2020-04-09,지출,문화/여가,OTT 구독,-50838,메모_730
2020-04-11,지출,의료,치과,-122200,메모_1944
2020-04-11,지출,저축/투자,적금 납입,-365760,
2020-04-12,지출,통신,휴대폰 요금,-106003,
2020-04-12,지출,의료,한의원,-126807,카드결제
2020-04-13,수입,급여,프리랜서 수입,3530859,카드결제
2020-04-13,지출,주거,전기세,-209011,
2020-04-13,지출,교통,버스,-88766,
2020-04-13,수입,기타수입,중고 판매,253559,
2020-04-14,지출,주거,전기세,-286308,
2020-04-15,지출,식비,한식당,-57891,
2020-04-16,지출,교육,자격증 시험,-190600,현금
2020-04-16,지출,쇼핑,신발 구입,-318183,
2020-04-17,지출,저축/투자,펀드 투자,-696915,카드결제
2020-04-17,지출,의료,한의원,-145033,메모_1827
2020-04-17,지출,식비,저녁외식,-3366,
2020-04-17,수입,급여,프리랜서 수입,4696135,현금
2020-04-18,지출,주거,인터넷 설치,-273275,
2020-04-19,지출,통신,케이블TV,-105929,카드결제
2020-04-19,지출,문화/여가,도서 구입,-90162,메모_1156
2020-04-19,수입,급여,프리랜서 수입,2766377,카드결제
2020-04-20,지출,쇼핑,옷 구입,-209530,메모_1051
2020-04-20,지출,저축/투자,적금 납입,-236814,
2020-04-20,지출,교통,지하철,-42439,
2020-04-22,지출,통신,케이블TV,-32462,
2020-04-22,지출,저축/투자,적금 납입,-844305,
2020-04-24,수입,기타수입,중고 판매,440192,현금
2020-04-24,지출,통신,휴대폰 요금,-70449,
2020-04-24,수입,급여,월급,2701932,메모_3265
2020-04-24,지출,쇼핑,온라인쇼핑,-382640,
2020-04-24,지출,쇼핑,옷 구입,-397043,카드결제
2020-04-25,지출,주거,관리비,-240797,메모_3108
2020-04-25,지출,의료,한의원,-132512,현금
2020-04-26,지출,통신,케이블TV,-67000,
2020-04-27,지출,쇼핑,생활용품,-461081,메모_655
2020-04-27,지출,여행,여행 경비,-348571,현금
2020-04-27,지출,문화/여가,음악 스트리밍,-20862,현금
2020-04-28,지출,의료,치과,-9881,카드결제
2020-04-28,지출,문화/여가,게임 아이템,-97489,
2020-04-29,지출,쇼핑,가전제품,-483247,
2020-04-29,지출,문화/여가,OTT 구독,-25341,카드결제
2020-04-29,지출,여행,항공권,-678616,카드결제
2020-04-30,지출,쇼핑,가전제품,-418227,
2020-04-30,지출,통신,인터넷 요금,-82967,
2020-05-01,지출,통신,휴대폰 요금,-42825,
2020-05-01,수입,기타수입,환급금,111837,메모_4467
2020-05-02,지출,주거,수도세,-161272,카드결제
2020-05-03,지출,식비,카페,-62984,카드결제
2020-05-04,지출,여행,여행 경비,-707485,
2020-05-04,지출,여행,숙박비,-352251,
2020-05-04,수입,기타수입,중고 판매,101530,
2020-05-04,지출,교육,교재 구입,-330317,카드결제
2020-05-05,지출,교육,온라인 강의,-517773,메모_418
2020-05-05,지출,문화/여가,스포츠센터,-57602,카드결제
2020-05-06,수입,기타수입,중고 판매,105257,
2020-05-06,지출,교육,자격증 시험,-497349,카드결제
2020-05-07,지출,주거,인터넷 설치,-117015,카드결제
2020-05-07,지출,의료,병원 진료,-53683,
2020-05-07,지출,교육,학원비,-452396,메모_2490
2020-05-07,지출,교육,교재 구입,-548908,
2020-05-08,지출,쇼핑,화장품,-23627,
2020-05-08,지출,주거,수도세,-163412,현금
2020-05-09,지출,주거,인터넷 설치,-227745,메모_206
2020-05-09,지출,교통,버스,-131799,
2020-05-10,수입,기타수입,중고 판매,235769,카드결제
2020-05-10,지출,의료,안과,-107478,현금
2020-05-11,지출,쇼핑,신발 구입,-358656,현금
2020-05-12,지출,교육,교재 구입,-438984,메모_76
2020-05-13,지출,여행,항공권,-874545,카드결제
2020-05-13,지출,문화/여가,공연 티켓,-54950,현금
2020-05-13,지출,쇼핑,생활용품,-138994,카드결제
2020-05-13,지출,저축/투자,주식 매수,-937484,
2020-05-14,지출,통신,휴대폰 요금,-112544,메모_1045
2020-05-14,지출,교통,주유비,-87880,
2020-05-15,지출,교통,주유비,-39529,
2020-05-16,지출,식비,점심식사,-32870,메모_4003
2020-05-17,지출,쇼핑,생활용품,-218891,현금
2020-05-18,지출,저축/투자,펀드 투자,-452838,
2020-05-18,지출,주거,수도세,-130395,
2020-05-18,지출,교통,버스,-52536,
2020-05-19,수입,급여,이자 수입,3178995,
2020-05-19,지출,쇼핑,생활용품,-483072,
2020-05-19,수입,기타수입,환급금,57095,현금
2020-05-20,지출,통신,케이블TV,-85847,
2020-05-20,지출,문화/여가,영화관,-58432,카드결제
2020-05-21,지출,문화/여가,스포츠센터,-25562,
2020-05-22,지출,쇼핑,생활용품,-87565,메모_975
2020-05-22,수입,급여,프리랜서 수입,3505273,카드결제
2020-05-22,지출,식비,분식집,-62905,
2020-05-23,지출,교통,택시,-134183,
2020-05-23,지출,의료,치과,-117126,현금
2020-05-25,지출,쇼핑,옷 구입,-393728,카드결제
2020-05-26,지출,문화/여가,스포츠센터,-73390,
2020-05-26,지출,교통,택시,-17556,
2020-05-27,지출,저축/투자,적금 납입,-565338,
2020-05-28,지출,주거,전기세,-235267,현금
2020-05-29,지출,의료,약국,-123510,메모_1308
2020-05-29,지출,통신,케이블TV,-37046,카드결제
2020-05-29,지출,여행,여행 경비,-1264895,
2020-05-30,지출,교육,학원비,-156688,메모_3858
2020-05-31,지출,문화/여가,영화관,-80308,현금
2020-05-31,수입,기타수입,용돈,344361,
2020-06-01,수입,급여,보너스,4252736,
2020-06-01,지출,교육,자격증 시험,-157696,카드결제
2020-06-01,지출,여행,항공권,-928721,카드결제
2020-06-02,지출,저축/투자,적금 납입,-682063,
2020-06-02,지출,통신,케이블TV,-90088,
2020-06-02,지출,교육,온라인 강의,-119299,메모_2611
2020-06-02,지출,여행,항공권,-1221867,카드결제
2020-06-03,지출,통신,케이블TV,-30057,
2020-06-03,지출,주거,인터넷 설치,-180192,
2020-06-03,지출,문화/여가,스포츠센터,-23141,
2020-06-03,지출,쇼핑,가전제품,-120197,
2020-06-03,수입,기타수입,용돈,408981,메모_2997
2020-06-03,지출,저축/투자,펀드 투자,-406749,
2020-06-05,지출,여행,여행 경비,-767426,카드결제
2020-06-06,지출,교육,교재 구입,-477559,카드결제
2020-06-07,지출,쇼핑,온라인쇼핑,-150901,
2020-06-07,수입,기타수입,환급금,216995,
2020-06-07,지출,주거,관리비,-150508,메모_3039
2020-06-08,지출,교육,온라인 강의,-253168,현금
2020-06-08,지출,통신,휴대폰 요금,-58906,메모_4965
2020-06-09,수입,급여,보너스,2734511,
2020-06-09,지출,통신,인터넷 요금,-37428,
2020-06-09,지출,식비,한식당,-12103,
2020-06-10,지출,교육,자격증 시험,-359030,
2020-06-10,지출,저축/투자,펀드 투자,-623700,카드결제
2020-06-10,지출,식비,점심식사,-56311,
2020-06-10,지출,의료,병원 진료,-166093,
2020-06-10,지출,쇼핑,옷 구입,-415729,
2020-06-12,지출,여행,여행 경비,-1419671,메모_2091
2020-06-12,지출,교육,학원비,-533124,메모_2237
2020-06-12,지출,주거,가스비,-177237,현금
2020-06-13,지출,문화/여가,스포츠센터,-98531,메모_115
2020-06-13,지출,주거,관리비,-203651,
2020-06-13,수입,기타수입,환급금,299394,
2020-06-13,수입,기타수입,환급금,211996,카드결제
2020-06-15,지출,주거,전기세,-152960,
2020-06-16,수입,급여,보너스,4941253,
2020-06-17,지출,통신,케이블TV,-42264,메모_1115
2020-06-18,지출,교육,온라인 강의,-231358,카드결제
2020-06-19,지출,교육,온라인 강의,-582261,현금
2020-06-20,지출,저축/투자,주식 매수,-463224,카드결제
2020-06-20,지출,여행,숙박비,-115229,카드결제
2020-06-20,수입,급여,프리랜서 수입,4305805,카드결제
2020-06-20,지출,식비,배달음식,-68535,
2020-06-20,지출,식비,점심식사,-20424,메모_2608
2020-06-20,지출,식비,한식당,-55521,카드결제
2020-06-20,지출,식비,중식당,-51140,
2020-06-21,지출,교통,KTX,-92297,현금
2020-06-21,수입,기타수입,용돈,447563,
2020-06-22,지출,주거,관리비,-101252,
2020-06-22,지출,저축/투자,적금 납입,-576213,카드결제
2020-06-23,지출,쇼핑,화장품,-222854,
2020-06-23,지출,통신,휴대폰 요금,-115763,현금
2020-06-25,지출,쇼핑,신발 구입,-159455,메모_927
2020-06-26,지출,주거,가스비,-150316,메모_589
2020-06-26,지출,문화/여가,OTT 구독,-61181,
2020-06-26,지출,쇼핑,화장품,-442811,
2020-06-28,지출,식비,저녁외식,-44365,카드결제
2020-06-28,지출,의료,치과,-112766,카드결제
2020-06-29,지출,저축/투자,적금 납입,-964227,
2020-06-29,지출,교통,택시,-87258,카드결제
2020-06-29,수입,기타수입,용돈,303047,메모_2466
2020-06-30,지출,의료,약국,-146494,
2020-06-30,지출,주거,가스비,-203852,
2020-06-30,수입,급여,보너스,3983836,
2020-07-01,지출,교통,KTX,-122585,
2020-07-02,수입,급여,프리랜서 수입,2594728,현금
2020-07-03,지출,여행,숙박비,-991108,
2020-07-03,지출,식비,분식집,-47558,
2020-07-03,수입,기타수입,중고 판매,434071,메모_3978
2020-07-03,지출,여행,항공권,-778169,
2020-07-04,지출,여행,여행 경비,-1492483,메모_3239
2020-07-05,지출,교통,주유비,-95268,
2020-07-05,지출,여행,항공권,-1436941,
2020-07-05,지출,문화/여가,공연 티켓,-68418,현금
2020-07-05,지출,저축/투자,적금 납입,-534295,
2020-07-05,수입,기타수입,용돈,56457,
2020-07-06,수입,기타수입,환급금,365430,
2020-07-06,수입,기타수입,중고 판매,257140,카드결제
2020-07-07,수입,급여,프리랜서 수입,4450746,
2020-07-07,지출,주거,수도세,-251292,
2020-07-07,지출,문화/여가,음악 스트리밍,-84311,메모_4503
2020-07-08,지출,교통,주차비,-32043,
2020-07-09,지출,쇼핑,온라인쇼핑,-64119,카드결제
2020-07-09,지출,문화/여가,도서 구입,-40409,카드결제
2020-07-09,지출,교통,고속도로 통행료,-98861,
2020-07-10,지출,문화/여가,OTT 구독,-7843,
2020-07-11,수입,기타수입,용돈,228400,
2020-07-11,지출,쇼핑,신발 구입,-315123,
2020-07-12,지출,식비,편의점,-38677,카드결제
2020-07-14,지출,저축/투자,적금 납입,-529318,
2020-07-14,수입,급여,프리랜서 수입,4138372,메모_1357
2020-07-14,지출,주거,인터넷 설치,-184149,
2020-07-14,지출,여행,항공권,-981072,카드결제
2020-07-14,지출,의료,안과,-37514,
2020-07-15,지출,식비,마트,-9322,메모_456
2020-07-15,지출,통신,인터넷 요금,-21111,
2020-07-15,수입,기타수입,중고 판매,286725,카드결제
2020-07-15,지출,의료,치과,-26600,
2020-07-18,지출,교육,교재 구입,-543446,카드결제
2020-07-18,지출,여행,여행 경비,-1168648,현금
2020-07-19,지출,통신,휴대폰 요금,-71060,메모_2646
2020-07-20,지출,통신,인터넷 요금,-31151,카드결제
2020-07-20,지출,교육,교재 구입,-467375,
2020-07-20,지출,저축/투자,주식 매수,-191314,카드결제
2020-07-20,수입,급여,보너스,4508184,
2020-07-21,지출,여행,항공권,-544787,
2020-07-21,지출,여행,항공권,-1002578,
2020-07-21,지출,교통,주차비,-53910,현금
2020-07-22,지출,식비,중식당,-27150,메모_1862
2020-07-22,지출,식비,일식당,-21519,
2020-07-23,지출,주거,가스비,-273409,
2020-07-23,지출,교통,고속도로 통행료,-120622,
2020-07-23,지출,주거,수도세,-79211,
2020-07-23,수입,급여,월급,2824829,
2020-07-23,지출,문화/여가,영화관,-80891,
2020-07-25,수입,급여,월급,4415756,메모_4773
2020-07-26,지출,저축/투자,주식 매수,-905570,카드결제
2020-07-26,지출,의료,치과,-17941,현금
2020-07-27,지출,통신,케이블TV,-32913,현금
2020-07-28,지출,통신,케이블TV,-42572,
2020-07-29,지출,통신,인터넷 요금,-115703,
2020-07-31,지출,통신,케이블TV,-96142,현금
2020-07-31,지출,식비,분식집,-54934,
2020-08-01,지출,식비,카페,-14939,메모_601
2020-08-01,지출,문화/여가,도서 구입,-31767,
2020-08-01,지출,문화/여가,OTT 구독,-42780,메모_2575
2020-08-02,수입,급여,월급,3162891,메모_929
2020-08-02,지출,식비,점심식사,-52465,
2020-08-02,지출,여행,숙박비,-1463353,카드결제
2020-08-03,지출,쇼핑,가전제품,-386102,
2020-08-03,지출,식비,편의점,-17523,
2020-08-03,지출,식비,일식당,-64642,메모_4832
2020-08-04,수입,급여,이자 수입,4466578,카드결제
2020-08-04,지출,주거,관리비,-216638,
2020-08-04,지출,쇼핑,옷 구입,-317991,
2020-08-04,지출,여행,항공권,-1466709,
2020-08-04,지출,식비,중식당,-27250,메모_4362
2020-08-05,지출,쇼핑,옷 구입,-61282,현금
2020-08-06,지출,쇼핑,가전제품,-133615,
2020-08-06,수입,급여,월급,3337223,
2020-08-06,수입,기타수입,용돈,185461,메모_4804
2020-08-07,지출,의료,치과,-24927,카드결제
2020-08-07,수입,급여,보너스,4532597,
2020-08-07,수입,급여,보너스,4480632,카드결제
2020-08-07,수입,급여,프리랜서 수입,4744289,현금
2020-08-07,지출,여행,숙박비,-389298,현금
2020-08-07,지출,교육,학원비,-333376,현금
2020-08-09,수입,급여,보너스,3076151,
2020-08-09,수입,기타수입,용돈,249878,
2020-08-10,수입,기타수입,용돈,184049,카드결제
2020-08-10,지출,통신,휴대폰 요금,-93149,카드결제
2020-08-10,지출,문화/여가,게임 아이템,-118101,카드결제
2020-08-10,수입,급여,이자 수입,4376154,현금
2020-08-11,지출,식비,저녁외식,-64636,
2020-08-11,지출,의료,병원 진료,-94087,
2020-08-11,지출,저축/투자,적금 납입,-423931,메모_4379
2020-08-12,지출,주거,관리비,-64493,현금
2020-08-12,지출,식비,한식당,-76126,
2020-08-13,지출,식비,마트,-27651,
2020-08-16,지출,통신,인터넷 요금,-69998,
2020-08-16,지출,문화/여가,공연 티켓,-55533,
2020-08-17,지출,문화/여가,음악 스트리밍,-15837,메모_207
2020-08-17,지출,의료,안과,-155914,
2020-08-17,수입,기타수입,용돈,306192,현금
2020-08-17,지출,식비,마트,-56150,
2020-08-17,지출,쇼핑,옷 구입,-376801,
2020-08-17,지출,문화/여가,게임 아이템,-112807,카드결제
2020-08-18,지출,교통,KTX,-82871,메모_21
2020-08-18,지출,의료,약국,-108386,현금
2020-08-18,지출,교육,자격증 시험,-167389,
2020-08-18,지출,문화/여가,스포츠센터,-83823,현금
2020-08-19,지출,문화/여가,게임 아이템,-42567,
2020-08-19,지출,의료,안과,-135131,
2020-08-20,수입,급여,월급,3324962,메모_4130
2020-08-20,지출,저축/투자,주식 매수,-104961,카드결제
2020-08-21,지출,의료,한의원,-188434,
2020-08-22,지출,주거,인터넷 설치,-220479,현금
2020-08-22,수입,기타수입,중고 판매,432717,
2020-08-22,수입,급여,이자 수입,4474717,메모_1986
2020-08-22,지출,저축/투자,적금 납입,-905543,메모_4736
2020-08-23,지출,통신,인터넷 요금,-92634,
2020-08-23,수입,기타수입,중고 판매,135208,
2020-08-23,지출,주거,수도세,-230600,
2020-08-25,지출,통신,휴대폰 요금,-47444,카드결제
2020-08-25,지출,저축/투자,적금 납입,-124357,카드결제
2020-08-25,지출,통신,케이블TV,-68443,카드결제
2020-08-25,수입,기타수입,용돈,380085,
2020-08-26,지출,문화/여가,OTT 구독,-97895,현금
2020-08-26,지출,식비,저녁외식,-77838,현금
2020-08-27,지출,교육,교재 구입,-192079,
2020-08-27,지출,교통,버스,-85396,메모_1232
2020-08-27,수입,급여,월급,3441697,카드결제
2020-08-28,지출,교통,고속도로 통행료,-14217,
2020-08-28,수입,급여,이자 수입,2935004,카드결제
2020-08-29,지출,의료,병원 진료,-170955,
2020-08-29,지출,저축/투자,적금 납입,-439862,카드결제
2020-08-30,수입,급여,보너스,4908089,카드결제
2020-08-31,지출,여행,여행 경비,-689478,카드결제
2020-08-31,지출,저축/투자,적금 납입,-788927,
2020-08-31,지출,주거,가스비,-250086,메모_3902
2020-09-01,지출,저축/투자,펀드 투자,-452586,
2020-09-01,지출,식비,분식집,-45006,
2020-09-01,지출,여행,항공권,-1107520,
2020-09-02,지출,주거,가스비,-283887,
2020-09-02,지출,쇼핑,신발 구입,-252476,
2020-09-02,수입,급여,보너스,3228048,
2020-09-02,지출,의료,치과,-40798,카드결제
2020-09-04,지출,쇼핑,생활용품,-295502,메모_3669
2020-09-05,지출,주거,관리비,-223498,카드결제
2020-09-05,지출,주거,인터넷 설치,-195596,
2020-09-05,지출,여행,항공권,-953701,메모_1235
2020-09-06,지출,의료,안과,-199174,메모_1546
2020-09-06,지출,쇼핑,온라인쇼핑,-147156,
2020-09-06,지출,의료,한의원,-158531,메모_2117
2020-09-06,수입,급여,월급,4065091,
2020-09-07,지출,여행,항공권,-113240,
2020-09-07,지출,교육,자격증 시험,-297411,카드결제
2020-09-07,지출,여행,숙박비,-475686,카드결제
2020-09-07,지출,교통,택시,-17961,현금
2020-09-08,지출,문화/여가,공연 티켓,-81122,현금
2020-09-08,지출,식비,배달음식,-19803,
2020-09-09,수입,급여,보너스,4902084,
